class	parent_class	field	type_code	type_size_bytes	type_guess	offset_dec	offset_hex	elem_count	enum_table	reg_func	parent_reg_func	call_site	class_confidence
CommanderIconData	SimDataBlock	images	7	4	string(char*)	80	0x50	5		0x00666910		0x00666925	vtable-init
CommanderIconData	SimDataBlock	baseImage	7	4	string(char*)	80	0x50	1		0x00666910		0x0066693a	vtable-init
CommanderIconData	SimDataBlock	activeImage	7	4	string(char*)	84	0x54	1		0x00666910		0x0066694f	vtable-init
CommanderIconData	SimDataBlock	inactiveImage	7	4	string(char*)	88	0x58	1		0x00666910		0x00666964	vtable-init
CommanderIconData	SimDataBlock	selectImage	7	4	string(char*)	92	0x5c	1		0x00666910		0x00666979	vtable-init
CommanderIconData	SimDataBlock	hilightImage	7	4	string(char*)	96	0x60	1		0x00666910		0x0066698e	vtable-init
Debris	GameBase	lifetime	5	4	F32	676	0x2a4	1		0x00684aa0		0x00684ab3	vtable-init
DebrisData	GameBaseData	velocity	5	4	F32	68	0x44	1		0x00684000	0x005e27d0	0x00684187	vtable-init
DebrisData	GameBaseData	velocityVariance	5	4	F32	72	0x48	1		0x00684000	0x005e27d0	0x0068419c	vtable-init
DebrisData	GameBaseData	friction	5	4	F32	76	0x4c	1		0x00684000	0x005e27d0	0x00684088	vtable-init
DebrisData	GameBaseData	elasticity	5	4	F32	80	0x50	1		0x00684000	0x005e27d0	0x00684073	vtable-init
DebrisData	GameBaseData	lifetime	5	4	F32	84	0x54	1		0x00684000	0x005e27d0	0x0068415d	vtable-init
DebrisData	GameBaseData	lifetimeVariance	5	4	F32	88	0x58	1		0x00684000	0x005e27d0	0x00684172	vtable-init
DebrisData	GameBaseData	numBounces	1	4	S32	92	0x5c	1		0x00684000	0x005e27d0	0x0068409d	vtable-init
DebrisData	GameBaseData	bounceVariance	1	4	S32	96	0x60	1		0x00684000	0x005e27d0	0x006840b2	vtable-init
DebrisData	GameBaseData	minSpinSpeed	5	4	F32	100	0x64	1		0x00684000	0x005e27d0	0x006840c7	vtable-init
DebrisData	GameBaseData	maxSpinSpeed	5	4	F32	104	0x68	1		0x00684000	0x005e27d0	0x006840dc	vtable-init
DebrisData	GameBaseData	render2D	3	1	bool(4)	108	0x6c	1		0x00684000	0x005e27d0	0x006840f1	vtable-init
DebrisData	GameBaseData	explodeOnMaxBounce	3	1	bool(4)	109	0x6d	1		0x00684000	0x005e27d0	0x0068411e	vtable-init
DebrisData	GameBaseData	staticOnMaxBounce	3	1	bool(4)	110	0x6e	1		0x00684000	0x005e27d0	0x00684133	vtable-init
DebrisData	GameBaseData	snapOnMaxBounce	3	1	bool(4)	111	0x6f	1		0x00684000	0x005e27d0	0x00684148	vtable-init
DebrisData	GameBaseData	fade	3	1	bool(4)	112	0x70	1		0x00684000	0x005e27d0	0x006841b1	vtable-init
DebrisData	GameBaseData	useRadiusMass	3	1	bool(4)	113	0x71	1		0x00684000	0x005e27d0	0x006841c6	vtable-init
DebrisData	GameBaseData	baseRadius	5	4	F32	116	0x74	1		0x00684000	0x005e27d0	0x006841db	vtable-init
DebrisData	GameBaseData	gravModifier	5	4	F32	120	0x78	1		0x00684000	0x005e27d0	0x006841f0	vtable-init
DebrisData	GameBaseData	terminalVelocity	5	4	F32	124	0x7c	1		0x00684000	0x005e27d0	0x00684205	vtable-init
DebrisData	GameBaseData	ignoreWater	3	1	bool(4)	128	0x80	1		0x00684000	0x005e27d0	0x0068421d	vtable-init
DebrisData	GameBaseData	shapeName	7	4	string(char*)	132	0x84	1		0x00684000	0x005e27d0	0x00684109	vtable-init
DebrisData	GameBaseData	texture	7	4	string(char*)	140	0x8c	1		0x00684000	0x005e27d0	0x0068402e	vtable-init
DebrisData	GameBaseData	explosion	25	4	ExplosionData*	152	0x98	1		0x00684000	0x005e27d0	0x0068405e	vtable-init
DebrisData	GameBaseData	emitters	32	8	ParticleEmitterData*	156	0x9c	2		0x00684000	0x005e27d0	0x00684046	vtable-init
DecalData	SimDataBlock	sizeX	5	4	F32	60	0x3c	1		0x00593970		0x00593996	vtable-init
DecalData	SimDataBlock	sizeY	5	4	F32	64	0x40	1		0x00593970		0x005939ab	vtable-init
DecalData	SimDataBlock	textureName	7	4	string(char*)	68	0x44	1		0x00593970		0x005939c0	vtable-init
ELFProjectileData	ProjectileData	beamRange	5	4	F32	312	0x138	1		0x0064a860	0x006303f0	0x0064a878	vtable-init
ELFProjectileData	ProjectileData	beamHitWidth	5	4	F32	316	0x13c	1		0x0064a860	0x006303f0	0x0064a890	vtable-init
ELFProjectileData	ProjectileData	textures	7	4	string(char*)	320	0x140	3		0x0064a860	0x006303f0	0x0064a8a8	vtable-init
ELFProjectileData	ProjectileData	emitter	32	8	ParticleEmitterData*	332	0x14c	1		0x0064a860	0x006303f0	0x0064a938	vtable-init
ELFProjectileData	ProjectileData	mainBeamWidth	5	4	F32	340	0x154	1		0x0064a860	0x006303f0	0x0064a8c0	vtable-init
ELFProjectileData	ProjectileData	mainBeamSpeed	5	4	F32	344	0x158	1		0x0064a860	0x006303f0	0x0064a8d8	vtable-init
ELFProjectileData	ProjectileData	mainBeamRepeat	5	4	F32	348	0x15c	1		0x0064a860	0x006303f0	0x0064a8f0	vtable-init
ELFProjectileData	ProjectileData	lightningWidth	5	4	F32	352	0x160	1		0x0064a860	0x006303f0	0x0064a908	vtable-init
ELFProjectileData	ProjectileData	lightningDist	5	4	F32	356	0x164	1		0x0064a860	0x006303f0	0x0064a920	vtable-init
EditTSCtrl	GuiTSCtrl	renderMissionArea	3	1	bool(4)	544	0x220	1		0x00467320	0x004b6960	0x00467338	vtable-init
EditTSCtrl	GuiTSCtrl	missionAreaFillColor	11	4	ColorI(4B)	545	0x221	1		0x00467320	0x004b6960	0x00467350	vtable-init
EditTSCtrl	GuiTSCtrl	missionAreaFrameColor	11	4	ColorI(4B)	549	0x225	1		0x00467320	0x004b6960	0x00467368	vtable-init
EditTSCtrl	GuiTSCtrl	consoleFrameColor	11	4	ColorI(4B)	553	0x229	1		0x00467320	0x004b6960	0x00467380	vtable-init
EditTSCtrl	GuiTSCtrl	consoleFillColor	11	4	ColorI(4B)	557	0x22d	1		0x00467320	0x004b6960	0x00467398	vtable-init
EditTSCtrl	GuiTSCtrl	consoleSphereLevel	1	4	S32	564	0x234	1		0x00467320	0x004b6960	0x004673b0	vtable-init
EditTSCtrl	GuiTSCtrl	consoleCircleSegments	1	4	S32	568	0x238	1		0x00467320	0x004b6960	0x004673c8	vtable-init
EditTSCtrl	GuiTSCtrl	consoleLineWidth	1	4	S32	572	0x23c	1		0x00467320	0x004b6960	0x004673e0	vtable-init
EffectProfile	SimDataBlock	effectname	7	4	string(char*)	60	0x3c	1		0x0050dc70		0x0050dc80	vtable-init
EffectProfile	SimDataBlock	minDistance	5	4	F32	64	0x40	1		0x0050dc70		0x0050dc95	vtable-init
EffectProfile	SimDataBlock	maxDistance	5	4	F32	68	0x44	1		0x0050dc70		0x0050dcaa	vtable-init
EffectProfile	SimDataBlock	audioScale	5	4	F32	72	0x48	1		0x0050dc70		0x0050dcbf	vtable-init
EffectProfile	SimDataBlock	directional	3	1	bool(4)	76	0x4c	1		0x0050dc70		0x0050dcd4	vtable-init
EnergyProjectileData	GrenadeProjectileData	texture	7	4	string(char*)	344	0x158	2		0x00694b40	0x006333d0	0x00694b58	vtable-init
EnergyProjectileData	GrenadeProjectileData	crossViewAng	5	4	F32	360	0x168	1		0x00694b40	0x006333d0	0x00694b70	vtable-init
EnergyProjectileData	GrenadeProjectileData	crossSize	5	4	F32	364	0x16c	1		0x00694b40	0x006333d0	0x00694b88	vtable-init
EnergyProjectileData	GrenadeProjectileData	blurLifetime	5	4	F32	368	0x170	1		0x00694b40	0x006333d0	0x00694ba0	vtable-init
EnergyProjectileData	GrenadeProjectileData	blurWidth	5	4	F32	372	0x174	1		0x00694b40	0x006333d0	0x00694bb8	vtable-init
EnergyProjectileData	GrenadeProjectileData	blurColor	12	16	ColorF(16B)	376	0x178	1		0x00694b40	0x006333d0	0x00694bd0	vtable-init
ExplosionData	GameBaseData	explosionShape	7	4	string(char*)	68	0x44	1		0x0061e7a0	0x005e27d0	0x0061e7cb	vtable-init
ExplosionData	GameBaseData	faceViewer	3	1	bool(4)	72	0x48	1		0x0061e7a0	0x005e27d0	0x0061e7f5	vtable-init
ExplosionData	GameBaseData	particleDensity	1	4	S32	76	0x4c	1		0x0061e7a0	0x005e27d0	0x0061e81f	vtable-init
ExplosionData	GameBaseData	particleRadius	5	4	F32	80	0x50	1		0x0061e7a0	0x005e27d0	0x0061e834	vtable-init
ExplosionData	GameBaseData	soundProfile	34	4	AudioProfile*	84	0x54	1		0x0061e7a0	0x005e27d0	0x0061e7e0	vtable-init
ExplosionData	GameBaseData	particleEmitter	32	8	ParticleEmitterData*	88	0x58	1		0x0061e7a0	0x005e27d0	0x0061e80a	vtable-init
ExplosionData	GameBaseData	explosionScale	16	12	Point3F(12B)	100	0x64	1		0x0061e7a0	0x005e27d0	0x0061e849	vtable-init
ExplosionData	GameBaseData	playSpeed	5	4	F32	112	0x70	1		0x0061e7a0	0x005e27d0	0x0061e85e	vtable-init
ExplosionData	GameBaseData	emitter	32	8	ParticleEmitterData*	124	0x7c	4		0x0061e7a0	0x005e27d0	0x0061e873	vtable-init
ExplosionData	GameBaseData	shockwave	26	8	ShockwaveData*	156	0x9c	1		0x0061e7a0	0x005e27d0	0x0061e8a3	vtable-init
ExplosionData	GameBaseData	shockwaveOnTerrain	3	1	bool(4)	164	0xa4	1		0x0061e7a0	0x005e27d0	0x0061e8bb	vtable-init
ExplosionData	GameBaseData	debris	39	8	DebrisData*	168	0xa8	1		0x0061e7a0	0x005e27d0	0x0061e88b	vtable-init
ExplosionData	GameBaseData	debrisThetaMin	5	4	F32	176	0xb0	1		0x0061e7a0	0x005e27d0	0x0061e8d3	vtable-init
ExplosionData	GameBaseData	debrisThetaMax	5	4	F32	180	0xb4	1		0x0061e7a0	0x005e27d0	0x0061e8eb	vtable-init
ExplosionData	GameBaseData	debrisPhiMin	5	4	F32	184	0xb8	1		0x0061e7a0	0x005e27d0	0x0061e903	vtable-init
ExplosionData	GameBaseData	debrisPhiMax	5	4	F32	188	0xbc	1		0x0061e7a0	0x005e27d0	0x0061e91b	vtable-init
ExplosionData	GameBaseData	debrisNum	1	4	S32	192	0xc0	1		0x0061e7a0	0x005e27d0	0x0061e933	vtable-init
ExplosionData	GameBaseData	debrisNumVariance	1	4	S32	196	0xc4	1		0x0061e7a0	0x005e27d0	0x0061e94b	vtable-init
ExplosionData	GameBaseData	debrisVelocity	5	4	F32	200	0xc8	1		0x0061e7a0	0x005e27d0	0x0061e963	vtable-init
ExplosionData	GameBaseData	debrisVelocityVariance	5	4	F32	204	0xcc	1		0x0061e7a0	0x005e27d0	0x0061e97b	vtable-init
ExplosionData	GameBaseData	subExplosion	25	4	ExplosionData*	208	0xd0	5		0x0061e7a0	0x005e27d0	0x0061e993	vtable-init
ExplosionData	GameBaseData	delayMS	1	4	S32	248	0xf8	1		0x0061e7a0	0x005e27d0	0x0061e9ab	vtable-init
ExplosionData	GameBaseData	delayVariance	1	4	S32	252	0xfc	1		0x0061e7a0	0x005e27d0	0x0061e9c3	vtable-init
ExplosionData	GameBaseData	lifetimeMS	1	4	S32	256	0x100	1		0x0061e7a0	0x005e27d0	0x0061e9db	vtable-init
ExplosionData	GameBaseData	lifetimeVariance	1	4	S32	260	0x104	1		0x0061e7a0	0x005e27d0	0x0061e9f3	vtable-init
ExplosionData	GameBaseData	offset	5	4	F32	264	0x108	1		0x0061e7a0	0x005e27d0	0x0061ea0b	vtable-init
ExplosionData	GameBaseData	sizes	16	12	Point3F(12B)	268	0x10c	4		0x0061e7a0	0x005e27d0	0x0061ea3b	vtable-init
ExplosionData	GameBaseData	times	5	4	F32	316	0x13c	4		0x0061e7a0	0x005e27d0	0x0061ea23	vtable-init
ExplosionData	GameBaseData	shakeCamera	3	1	bool(4)	332	0x14c	1		0x0061e7a0	0x005e27d0	0x0061ea53	vtable-init
ExplosionData	GameBaseData	camShakeFreq	16	12	Point3F(12B)	336	0x150	1		0x0061e7a0	0x005e27d0	0x0061ea6b	vtable-init
ExplosionData	GameBaseData	camShakeAmp	16	12	Point3F(12B)	348	0x15c	1		0x0061e7a0	0x005e27d0	0x0061ea83	vtable-init
ExplosionData	GameBaseData	camShakeDuration	5	4	F32	360	0x168	1		0x0061e7a0	0x005e27d0	0x0061ea9b	vtable-init
ExplosionData	GameBaseData	camShakeRadius	5	4	F32	364	0x16c	1		0x0061e7a0	0x005e27d0	0x0061eab3	vtable-init
ExplosionData	GameBaseData	camShakeFalloff	5	4	F32	368	0x170	1		0x0061e7a0	0x005e27d0	0x0061eacb	vtable-init
FireballAtmosphere	GameBase	dropRadius	5	4	F32	656	0x290	1		0x0069b0f0	0x005e3670	0x0069b108	vtable-init
FireballAtmosphere	GameBase	dropsPerMinute	5	4	F32	660	0x294	1		0x0069b0f0	0x005e3670	0x0069b120	vtable-init
FireballAtmosphere	GameBase	minDropAngle	5	4	F32	664	0x298	1		0x0069b0f0	0x005e3670	0x0069b138	vtable-init
FireballAtmosphere	GameBase	maxDropAngle	5	4	F32	668	0x29c	1		0x0069b0f0	0x005e3670	0x0069b150	vtable-init
FireballAtmosphere	GameBase	startVelocity	5	4	F32	672	0x2a0	1		0x0069b0f0	0x005e3670	0x0069b168	vtable-init
FireballAtmosphere	GameBase	dropHeight	5	4	F32	676	0x2a4	1		0x0069b0f0	0x005e3670	0x0069b180	vtable-init
FireballAtmosphere	GameBase	dropDir	16	12	Point3F(12B)	680	0x2a8	1		0x0069b0f0	0x005e3670	0x0069b198	vtable-init
FireballAtmosphereData	GameBaseData	fireball	39	8	DebrisData*	68	0x44	1		0x0069af10	0x005e27d0	0x0069af3b	vtable-init
FlareProjectileData	GrenadeProjectileData	size	5	4	F32	344	0x158	1		0x00687110	0x006333d0	0x00687140	vtable-init
FlareProjectileData	GrenadeProjectileData	useLensFlare	3	1	bool(4)	352	0x160	1		0x00687110	0x006333d0	0x00687158	vtable-init
FlareProjectileData	GrenadeProjectileData	texture	7	4	string(char*)	356	0x164	2		0x00687110	0x006333d0	0x00687128	vtable-init
FlyingVehicleData	VehicleData	jetSound	34	4	AudioProfile*	1072	0x430	1		0x0060f820	0x006099e0	0x0060f838	vtable-init
FlyingVehicleData	VehicleData	engineSound	34	4	AudioProfile*	1076	0x434	1		0x0060f820	0x006099e0	0x0060f850	vtable-init
FlyingVehicleData	VehicleData	forwardJetEmitter	32	8	ParticleEmitterData*	1088	0x440	1		0x0060f820	0x006099e0	0x0060f9b8	vtable-init
FlyingVehicleData	VehicleData	backwardJetEmitter	32	8	ParticleEmitterData*	1092	0x444	1		0x0060f820	0x006099e0	0x0060f9d0	vtable-init
FlyingVehicleData	VehicleData	downJetEmitter	32	8	ParticleEmitterData*	1096	0x448	1		0x0060f820	0x006099e0	0x0060f9e8	vtable-init
FlyingVehicleData	VehicleData	trailEmitter	32	8	ParticleEmitterData*	1100	0x44c	1		0x0060f820	0x006099e0	0x0060fa00	vtable-init
FlyingVehicleData	VehicleData	minTrailSpeed	5	4	F32	1120	0x460	1		0x0060f820	0x006099e0	0x0060fa18	vtable-init
FlyingVehicleData	VehicleData	maneuveringForce	5	4	F32	1124	0x464	1		0x0060f820	0x006099e0	0x0060f868	vtable-init
FlyingVehicleData	VehicleData	horizontalSurfaceForce	5	4	F32	1128	0x468	1		0x0060f820	0x006099e0	0x0060f880	vtable-init
FlyingVehicleData	VehicleData	verticalSurfaceForce	5	4	F32	1132	0x46c	1		0x0060f820	0x006099e0	0x0060f898	vtable-init
